"Protein","HR","Tong_Detected_pct","APGI_Detected_pct"
"ADH1C",0.97,84.1,65.3
"GPD1",0.96,93.8,84.1
"TNC",1.14,100,93.8
"MYH11",0.93,100,100
"SLC2A1",1.01,97.3,88.1
"CD55",1.01,96.5,69.9
"FABP3",1,97.3,90.9
"NT5E",1.02,99.1,95.5
"KYNU",1.03,88.1,74.4
"KPNA2",1.07,88.5,69.3
"C1QC",1.07,100,90.3
"GNAO1",0.99,96.5,81.8
"NAMPT",1,100,100
"CBR1",0.8,100,99.4
"PCNA",1.15,95.6,100
"ALDH9A1",0.98,100,100
"PYGL",1.01,99.6,93.8
"IDH1",0.9,100,100
"SUCLG1",0.92,99.6,99.4
"GBE1",1.03,100,96
