"Protein","HR","Tong_Detected_pct","APGI_Detected_pct"
"GPD1",0.97,93.8,84.1
"TNC",1.15,100,93.8
"MYH11",0.92,100,100
"SLC2A1",1.01,97.3,88.1
"FABP3",0.98,97.3,90.9
"NT5E",1.04,99.1,95.5
"C1QC",1.08,100,90.3
"GNAO1",0.99,96.5,81.8
"NAMPT",1,100,100
"CBR1",0.81,100,99.4
"PCNA",1.17,95.6,100
"ALDH9A1",0.98,100,100
"PYGL",1.04,99.6,93.8
"SHMT2",1,100,100
"IDH1",0.9,100,100
"SUCLG1",0.91,99.6,99.4
"GBE1",1.01,100,96
