"Input_Set","Protein","Coefficient","Hazard_Ratio"
"Full Leading Edge","HMGCS2",-0.191094311059113,0.826054678385771
"Full Leading Edge","F3",0.162770825325486,1.17676697359545
"Full Leading Edge","GPD1",-0.000531337197543625,0.999468803937067
"Full Leading Edge","TNC",0.0498115823050396,1.0510730369588
"Full Leading Edge","MYH11",-0.0742842151947741,0.928407788739637
"Full Leading Edge","HLA-C",0.0131552318225847,1.01324214257695
"Full Leading Edge","CD55",0.000885653358520735,1.00088604566526
"Full Leading Edge","ITGB3",0.0119209888203471,1.01199232699962
"Full Leading Edge","TK1",0.0940515978084773,1.09861643065494
"Full Leading Edge","PRKCB",-0.0347814629887539,0.965816459838855
"Full Leading Edge","CKS1B",0.0195575199400133,1.01975002113379
"Full Leading Edge","KPNA2",0.0690800866744133,1.0715220203473
"Full Leading Edge","C1QC",0.151207795162016,1.16323834827097
"Full Leading Edge","GNAO1",-0.0271130499486795,0.973251209305621
"Full Leading Edge","CBR1",-0.212076754779756,0.808902608042172
"Full Leading Edge","IFITM3",0.0628333492296035,1.06484936647645
"Full Leading Edge","CEBPB",0.0630219978360744,1.06505026777482
"Full Leading Edge","HLA-E",0.0718117369161306,1.07445304517795
"Full Leading Edge","PCNA",0.0950323589624216,1.09969443952141
"Full Leading Edge","SHMT2",0.0507783652500366,1.05208968780604
"Full Leading Edge","IDH1",-0.0855069640265153,0.91804674972999
